iter	Passed	Remaining
907	2746	278
908	2753	275
909	2756	272
910	2760	269
911	2766	266
912	2770	263
913	2773	260
914	2779	258
915	2782	255
916	2787	252
917	2790	249
918	2796	246
919	2799	243
920	2801	240
921	2803	237
922	2812	234
923	2815	231
924	2817	228
925	2820	225
926	2828	222
927	2830	219
928	2833	216
929	2836	213
930	2843	210
931	2846	207
932	2848	204
933	2851	201
934	2858	198
935	2860	195
936	2862	192
937	2865	189
938	2868	186
939	2871	183
940	2874	180
941	2876	177
942	2879	174
943	2881	170
944	2884	167
945	2886	164
946	2889	161
947	2892	158
948	2895	155
949	2897	152
950	2900	149
951	2903	146
952	2906	143
953	2908	140
954	2910	137
955	2913	134
956	2915	131
957	2918	127
958	2920	124
959	2922	121
960	2925	118
961	2927	115
962	2930	112
963	2934	109
964	2937	106
965	2940	103
966	2944	100
967	2947	97
968	2950	94
969	2952	91
970	2955	88
971	2958	85
972	2961	82
973	2963	79
974	2966	76
975	2969	73
976	2971	69
977	2974	66
978	2976	63
979	2979	60
980	2981	57
981	2984	54
982	2987	51
983	2989	48
984	2992	45
985	2995	42
986	2998	39
987	3000	36
988	3003	33
989	3005	30
990	3007	27
991	3010	24
992	3012	21
993	3015	18
994	3017	15
995	3019	12
996	3022	9
997	3023	6
998	3026	3
999	3028	0
